Trace1,
Freq,,Amp,,
                   0,Hz,              -11.95, dBm,
              595823,Hz,              -12.04, dBm,
             1191646,Hz,              -15.64, dBm,
             1787469,Hz,              -36.08, dBm,
             2383292,Hz,              -59.41, dBm,
             2979115,Hz,              -60.47, dBm,
             3574938,Hz,              -59.09, dBm,
             4170761,Hz,              -59.97, dBm,
             4766584,Hz,              -60.64, dBm,
             5362407,Hz,              -61.38, dBm,
             5958230,Hz,              -61.15, dBm,
             6554053,Hz,              -61.10, dBm,
             7149876,Hz,              -62.35, dBm,
             7745699,Hz,              -63.54, dBm,
             8341522,Hz,              -61.29, dBm,
             8937345,Hz,              -62.84, dBm,
             9533168,Hz,              -63.09, dBm,
            10128991,Hz,              -63.29, dBm,
            10724814,Hz,              -62.27, dBm,
            11320637,Hz,              -64.06, dBm,
            11916460,Hz,              -60.20, dBm,
            12512283,Hz,              -56.74, dBm,
            13108106,Hz,              -57.14, dBm,
            13703929,Hz,              -57.77, dBm,
            14299752,Hz,              -60.54, dBm,
            14895575,Hz,              -63.14, dBm,
            15491398,Hz,              -63.32, dBm,
            16087221,Hz,              -63.65, dBm,
            16683044,Hz,              -61.66, dBm,
            17278867,Hz,              -62.86, dBm,
            17874690,Hz,              -64.41, dBm,
            18470513,Hz,              -61.62, dBm,
            19066336,Hz,              -63.34, dBm,
            19662159,Hz,              -64.10, dBm,
            20257982,Hz,              -61.83, dBm,
            20853805,Hz,              -62.20, dBm,
            21449628,Hz,              -60.01, dBm,
            22045451,Hz,              -64.27, dBm,
            22641274,Hz,              -63.64, dBm,
            23237097,Hz,              -63.61, dBm,
            23832920,Hz,              -63.63, dBm,
            24428743,Hz,              -63.02, dBm,
            25024566,Hz,              -63.57, dBm,
            25620389,Hz,              -63.95, dBm,
            26216212,Hz,              -65.86, dBm,
            26812035,Hz,              -62.90, dBm,
            27407858,Hz,              -61.91, dBm,
            28003681,Hz,              -63.82, dBm,
            28599504,Hz,              -61.44, dBm,
            29195327,Hz,              -65.27, dBm,
            29791150,Hz,              -65.08, dBm,
            30386973,Hz,              -64.63, dBm,
            30982796,Hz,              -62.06, dBm,
            31578619,Hz,              -61.97, dBm,
            32174442,Hz,              -63.70, dBm,
            32770265,Hz,              -62.38, dBm,
            33366088,Hz,              -61.67, dBm,
            33961911,Hz,              -62.98, dBm,
            34557734,Hz,              -62.33, dBm,
            35153557,Hz,              -64.91, dBm,
            35749380,Hz,              -63.09, dBm,
            36345203,Hz,              -63.70, dBm,
